PROJECT,DEPARTMENT,IMPROVEMENT TYPE,ADDRESS,LOCATION TIF,LOCATION TIF NUMBER,FUNDING TIF,FUNDING TIF NUMBER,PROJECT SUMMARY,TIF REQUEST,TOTAL PROJECT COST,PERCENTAGE OF TIF,TIC MEETING DATE,TIC DECISION,LOCATION
United Yards Residential,DOH,Affordable Housing,1515-1643  West 47th St,Pulaski Corridor,T-069,Pulaski Corridor,T-069,The primary site will be a six-story new construction building with 45 units and site 2 are 2 separate 3 Flat modular units consisting of 6 (2) BR units.,500000,500000,1,08/22/2023,Approved,POINT (-87.66657 41.80859)
Central Area Plan - Phase 2,DPD,Planning and Administration,Various,Chicago Kingsbury,T-094,Chicago Kingsbury,T-094,This will be a framework plan to set a new vision for Chicago's Central City to align with priorities and processes identified from We Will.,12300,500000,0.02,04/25/2023,Approved,
Otis ES - Chimney/Stack Reduction,CPS,Schools,525 North Armour St,Kinzie Industrial Corridor,T-052,Kinzie Industrial Corridor,T-052,Chimney reduction and stabilization,750000,750000,1,11/22/2019,Under Further Review,POINT (-87.66553 41.89166)
CPS ADA Polling Location Upgrades - Southwest Region,CPS,Schools,Multiple Addresses,Archer Western,T-163,Archer Western,T-163,"Typical remediation scope includes, but is not limited to: remove and replace concrete or pavement, install new ADA compliant ramp, remove and replace door thresholds, adjust or replace door closures, etc.",9000,24000,1,06/22/2021,Approved,
Neighborhood Lighting Infrastructure,CDOT,Public Infrastructure,,Archer Western,T-163,Archer Western,T-163,"City-wide program to replace condition 1 poles, ""all-outs"", temporary aerial wires and light fixtures to support the City's Smart Lighting Program for lighting infrastructure located within TIF district boundaries.",720000,720000,1,08/06/2019,Approved,POINT (-87.63245 41.88425)
Building Automation System (BAS) - CPS Central Region,CPS,Schools,,Kinzie Industrial Corridor,T-052,Kinzie Industrial Corridor,T-052,"This school has an obsolete and failing Building Automation System that controls the environmental mechanical system in the building.Â  This project would include upgrading, repairing and re-certifying the system so the district can provide controlled heat",280000,1789042,1,08/24/2021,Approved,POINT (-87.63245 41.88425)
Beverly Park - Ballfield Lighting & Tennis Court Renovation,Park District,Parks and Open Spaces,2460 West 102nd St,Western Rock Island,T-142,Western Rock Island,T-142,Proposed TIF funded investment will enable the Park District to provide new ball field lighting at two of the diamonds and fully renovate the existing tennis courts.,400000,400000,1,01/25/2022,Approved,POINT (-87.68319 41.70821)
Stony Island Corridor Plan Amendment,DPD,Planning and Administration,Various,71st Stony Island,T-060,71st Stony Island,T-060,Amendment to current task order request to include the Regal Theater and adjacent properties for visioning and feasibility.,500000,500000,1,04/25/2023,Approved,
Water and Sewer Improvements,DWM,Public Infrastructure,Various,35th Wallace,T-079,35th Wallace,T-079,"Replace water main, sewer main and line existing sewer main located within 59 investigated TIF boundaries throughout the City of Chicago.",1018555,1018555,1,04/07/2020,Referred Back to Department,
Overton Center of Excellence,DPD,Economic Development,221  East 29th St,47th King,T-118,47th King,T-118,"Renovation and adaptive reuse of former school building into the Overton Center of Excellence which will provide office space for new small, local and black-owned businesses.",5000000,16830076,0.3,07/26/2022,Approved,POINT (-87.62116 41.84201)
Small Business Improvement Fund,DPD,Economic Development,Various,Lincoln Ave,T-077,Lincoln Ave,T-077,Authorization of a 3-year allocation of TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund improvements to their buildings.,1000000,1000000,1,01/21/2020,Approved,
Small Business Improvement Fund,DPD,Economic Development,Various,Clark/Montrose,T-070,Clark/Montrose,T-070,Authorization of a 3-year allocation of TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund improvements to their buildings.,1000000,1000000,1,01/21/2020,Approved,
Taylor ES - Fire Alarm System,CPS,Schools,9912  South Avenue H,Ewing Avenue,T-169,Ewing Avenue,T-169,Provide replacement of the existing fire alarm system for main and annex building.,607200,607200,1,07/26/2022,Approved,POINT (-87.53285 41.71543)
Beverly Ridge Roadway Improvements,CDOT,Public Infrastructure,10600-10700  South Glenroy Av,105th Vincennes,T-111,105th Vincennes,T-111,"Design and construction of street resurfacing, roadway realignment, installation of concrete courtesy walks, and improved street lighting.",1600000,1600000,1,09/24/2024,Approved,POINT (-87.65803 41.69932)
Evers ES - Playground Replacement,CPS,Schools,9811 South Lowe Av,105th Vincennes,T-111,105th Vincennes,T-111,"Replace the playground with new, safer poured-in-place surface and modernize play equipment to better serve the student age population.",550000,550000,1,12/15/2020,Referred Back to Department,POINT (-87.6394 41.71546)
Clemente HS  - BAS,CPS,Schools,1147 North Western Av,Humboldt Park,T-108,Humboldt Park,T-108,"This school have an obsolete and failing Building Automation System that controls the environmental mechanical system in the buildings.Â  This project would include upgrading, repairing and re-certifying the system.",750000,750000,1,10/19/2021,Referred Back to Department,POINT (-87.687 41.90249)
SBIF Ordinances 2024,DPD,Economic Development,,Bronzeville,T-061,Bronzeville,T-061,The Small Business Improvement Fund provides non-competitive grants to small businesses to make permanent building improvements and repairs.,500000,500000,1,03/26/2024,Approved,POINT (-87.63245 41.88425)
Lawndale Line Development Framework Plan,DPD,Economic Development,,Roosevelt Cicero,T-038,Roosevelt Cicero,T-038,Complete a development framework plan to guide all decisions being made about property within the Study Area.,105000,500000,0.97,09/15/2020,Approved,POINT (-87.63245 41.88425)
Neighborhood Lighting Infrastructure,CDOT,Public Infrastructure,,Galewood Armitage,T-071,Galewood Armitage,T-071,"City-wide program to replace condition 1 poles, ""all-outs"", temporary aerial wires and light fixtures to support the City's Smart Lighting Program for lighting infrastructure located within TIF district boundaries.",1500000,1500000,1,09/03/2019,Approved,POINT (-87.63245 41.88425)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,35th Halsted,T-001,35th Halsted,T-001,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",138000,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
Lake Calumet Major Amendment Study,DPD,Planning and Administration,Various,Lake Calumet,T-103,Lake Calumet,T-103,Redevelopment planning study for the TIF area for 12 year extension.,400000,400000,1,04/25/2023,Approved,
Fire Department: Engine Company 57,AIS,Municipal Facilities,1244 N Western Av,Humboldt Park,T-108,Humboldt Park,T-108,Exterior renovations; MEP upgrades,600000,600000,1,10/20/2020,Approved,POINT (-87.68736 41.90416)
Austin Town Hall- Facility/Cultural Center,Park District,Parks and Open Spaces,5610 West Lake St,Madison/Austin,T-075,Madison/Austin,T-075,"Major facility rehab as part of Neighborhood Cultural Center Initiative. Scope of work includes building envelope, ADA accessibility, electrical upgrade, auditorium upgrade,  lighting, auditorium and gym flooring.",1500000,2400000,0.63,09/15/2020,Approved,POINT (-87.76545 41.88774)
TIF Works Funding Requests 2024,DPD,Economic Development,,Chicago Central Park,T-115,Chicago Central Park,T-115,TIFWorks is an economic development program that utilizes TIF dollars to subsidize training programs for companies in TIF districts across the city of Chicago.,350000,350000,1,05/28/2024,Approved,POINT (-87.63245 41.88425)
2023 Arterial Resurfacing Program,CDOT,Public Infrastructure,2000-2400  West Fulton St,Kinzie Ind Corr,T-052,Kinzie Ind Corr,T-052,Pedestrian safety improvements at various locations throughout Chicago.,910000,10274000,0.09,04/25/2023,Approved,POINT (-87.67736 41.88676)
Water and Sewer Improvements,DWM,Public Infrastructure,Various,79th Southwest Hwy,T-112,79th Southwest Hwy,T-112,"Replace water main, sewer main and line existing sewer main located within 59 investigated TIF boundaries throughout the City of Chicago.",300000,300000,1,04/07/2020,Referred Back to Department,
TIF Purchase Rehab/NOF Invest Southwest Corridor Opportunities,DOH,Affordable Housing,,63rd Ashland,T-143,63rd Ashland,T-143,Business developmennt and mixed use building rehabilitation represent a heavy lift of timing and resources.  The TIF Purchase Rehab program is being utilized to assist in the eradication of blight through vacant and occupied buildings in need of repair.,1500000,17000000,1,04/20/2021,Approved,POINT (-87.63245 41.88425)
Skinner West Branch - Roof/Masonry,CPS,Schools,225 South Aberdeen St,Central West,T-086,Central West,T-086,Provide a full roof replacement and perform associated targeted masonry repairs at the branch building.,1260000,1260000,1,04/26/2022,Approved,POINT (-87.65457 41.87819)
Neighborhood Lighting Infrastructure,CDOT,Public Infrastructure,,Foster California,T-177,Foster California,T-177,"City-wide program to replace condition 1 poles, ""all-outs"", temporary aerial wires and light fixtures to support the City's Smart Lighting Program for lighting infrastructure located within TIF district boundaries.",515000,515000,1,09/03/2019,Approved,POINT (-87.63245 41.88425)
Roosevelt HS - Athletic Turf Field & Parking Lot,CPS,Schools,,Lawrence Kedzie,T-088,Lawrence Kedzie,T-088,Construction of a new artificial turf soccer field and asphalt parking lot.,5800000,5800000,1,09/21/2021,Approved,POINT (-87.63245 41.88425)
Urgent Light Pole Infrastructure Repair - LaSalle St,CDOT,Public Infrastructure,300 N - 300 S LaSalle St,Lasalle Central,T-147,Lasalle Central,T-147,Replacement of decorative light poles on LaSalle St.,750000,750000,1,11/22/2019,Approved,POINT (-87.63177 41.87801)
Pioneer Bank,DPD,Economic Development,1616-1638 North Pulaski Rd,Pulaski Corridor,T-069,Pulaski Corridor,T-069,"The building is a 5-story, ~50,000 sqft, City of Chicago designated landmark, historic bank building that is now vacant. It sits at the NW corner of North and Pulaski.",13000000,21167168,0.61,11/22/2022,Approved,POINT (-87.72634 41.91047)
Chicago Public Library  Capital Strategic Plan,DPD,Planning and Administration,Various,Ewing Avenue,T-169,Ewing Avenue,T-169,"CPL is seeking a consultant to create a comprehensive design and strategies guide for facilities design, planning, and improvements for the next 20 years, with an emphasis on a five-year commitment towards addressing the Facilities with highest needs.",6173,500000,0.01,04/25/2023,Approved,
Fire Engine Company 45,AIS,Municipal Facilities,4600 S Cottage Grove Ave,43rd Cottage Grove,T-055,43rd Cottage Grove,T-055,,200000,200000,1,06/16/2020,Approved,POINT (-87.60661 41.81119)
"Cicero Avenue, I-55 to Marquette Masterplan",CDOT,"Plans, Studies, and Administration",4200 - 4400 S Cicero Ave,Midway Industrial,T-089,Midway Industrial,T-089,Feasibility analysis in preparation for Phase 1 seeking  to improve existing infrastructure,92000,92000,1,10/01/2019,Approved,POINT (-87.74338 41.81276)
Crane Technical Prep Fire Alarm Replacement,CPS,Schools,2245 W. Jackson Blvd.,Central West,T-086,Central West,T-086,The fire alarm system has exceeded its useful life and replacement parts are no longer made for critical repairs. TIF is requested to reimburse CPS for expenses related to fire alarm system replacement.,1250000,1250000,1,08/06/2019,Referred Back to Department,POINT (-87.68326 41.87756)
Kedzie/Lake - Acquisition Authority,DPD,Economic Development,3200 West Lake St,Chicago Central Park,T-115,Chicago Central Park,T-115,The City will acquire acquisition authority for these properties and engage a broker to pursue acquisition. In order to fund the acquisition and related soft costs.,414500,2860000,1,12/20/2022,Approved,POINT (-87.70628 41.88435)
Walsh ES - Roof / Masonry,CPS,Schools,2015 South Peoria St,Pilsen Ind Corr,T-053,Pilsen Ind Corr,T-053,Replace the entire roof system including associatedÂ masonry and targeted interior finishes due to water infiltration.,3500000,3500000,1,08/24/2021,Approved,POINT (-87.64817 41.85495)
Concrete Protected Bike Lanes - 2023,CDOT,Public Infrastructure,800-900  West 119th St,119th Halsted,T-114,119th Halsted,T-114,Installation of concrete curb protected bike lanes.,79000,3932000,0.02,03/28/2023,Approved,POINT (-87.64197 41.67782)
Complete Streets - Southwest Side,CDOT,Public Infrastructure,,Little Village,T-152,Little Village,T-152,"Traffic Safety improvements for people walking, biking, driving, and taking transit by installing protected bike lanes, concrete curb extensions, concrete refuge island, busboarding islands, and other traffic safety elements.",2502000,10810000,0.23,11/19/2024,Approved,POINT (-87.63245 41.88425)
311 Center,AIS,Municipal Facilities,2111 West Lexington St,Western Ogden,T-048,Western Ogden,T-048,MEP Upgrades,735000,735000,1,04/20/2021,Approved,POINT (-87.67933 41.87202)
Q1 2024 Arterial Resurfacing,CDOT,Public Infrastructure,,Humboldt Park,T-108,Humboldt Park,T-108,2024 arterial resurfacing with Complete Streets upgrades,516128,516128,1,03/26/2024,Approved,POINT (-87.63245 41.88425)
Heart of Uptown Apartments - POAH,DOH,Affordable Housing,4431-4437 North Clifford Av,Wilson Yard,T-110,Wilson Yard,T-110,"Proposing to preserve 103 affordable units within five buildings in Uptown. Project will invest $14.4m in the rehab of the five buildings, including substantial repairs and upgrades to the buildings' infrastructure.",15000000,52926655,0.28,04/23/2024,Approved,
24th/Michigan Infrastructure Improvements,CDOT,Public Infrastructure,2200-2400 South Indiana Av,24th Michigan,T-072,24th Michigan,T-072,"Replace damaged sidewalk, curb and gutter, and noncompliant curb ramps to create ADA accessibility around McCormick Place",250000,250000,1,08/24/2021,Approved,POINT (-87.62216 41.8492)
Clemente HS - MEP,CPS,Schools,1147  North Western Av,Humboldt Park,T-108,Humboldt Park,T-108,"Full chiller plant replacement including both existing water cooled chillers and cooling towers including structural beams to support tower cells on the roof. Replace water pumps, add switch valves for the dual system, piping, insulation, etc.",5300000,5300000,1,08/22/2023,Approved,POINT (-87.687 41.90249)
TIF Works Funding Requests 2024,DPD,Economic Development,,Fullerton Milwaukee,T-087,Fullerton Milwaukee,T-087,TIFWorks is an economic development program that utilizes TIF dollars to subsidize training programs for companies in TIF districts across the city of Chicago.,500000,500000,1,05/28/2024,Approved,POINT (-87.63245 41.88425)
Metropolitan Apartments,DOH,Affordable Housing,3557 W Lawrence Ave,Lawrence Kedzie,T-088,Lawrence Kedzie,T-088,"60 unit new construction with 45 units ranging from 15-60% AMI, and 15 units as unrestricted/workforce housing",2500000,26659902,0.09,08/18/2020,Approved,POINT (-87.71806 41.96835)
Complete Streets - South Side,CDOT,Public Infrastructure,,71st Stony Island,T-060,71st Stony Island,T-060,"Traffic Safety improvements for people walking, biking, driving, and taking transit by installing protected bike lanes, concrete curb extensions, concrete refuge island, busboarding islands, and other traffic safety elements.",1460000,2390000,0.61,11/19/2024,Approved,POINT (-87.63245 41.88425)
Ramova Theater,DPD,Economic Development,3518 South Halsted St,35th Halsted,T-001,35th Halsted,T-001,"Construction of a 2 story, 29,206 square foot theater that will offer live music, comedy, and cultural performances. The theater will also contain a brewery on the first floor and a restaurant on the second floor.
Site has been vacant since 1986.",6640000,22365636,0.3,11/05/2019,Approved,POINT (-87.64609 41.83024)
Western Avenue & 79th Street Bus Turnaround,CTA,Transit Facilities,7900 South Western Av,Greater SW Ind Corr East,T-066,Greater SW Ind Corr West,T-092,"This project provides a needed rehabilitation of the Western Avenue and 79th Street Bus Turnaround. Rehab elements include new boarding islands and updated ramps that meet accessibility requirements, pavement replacement, shelter improvements, and repair",1900000,1900000,1,02/25/2020,Under Further Review,POINT (-87.68323 41.7499)
Chicago Union Station Improvement Projects,CDOT,Public Infrastructure,1-200  North Canal St,Canal Congress,T-063,Canal Congress,T-063,"City funding commitment for Chicago Union Station Improvement Projects, including (a) construction phase of CUS Mail Platform Reactivation and (b) NEPA/Preliminary Engineering phases for CUS Metra Commuter Platform Capacity Expansions and Ventilation Improvements.",2325000,123000000,0.02,10/22/2024,Approved,POINT (-87.63984 41.88605)
Neighborhood Lighting Infrastructure,CDOT,Public Infrastructure,,Cicero Archer,T-096,Cicero Archer,T-096,"City-wide program to replace condition 1 poles, ""all-outs"", temporary aerial wires and light fixtures to support the City's Smart Lighting Program for lighting infrastructure located within TIF district boundaries.",1065000,1065000,1,09/03/2019,Approved,POINT (-87.63245 41.88425)
Fire Station - Engine Co. 007,AIS,Municipal Facilities,,Belmont Cicero,T-082,Belmont Cicero,T-082,"Building Renovation -Exterior: Fencing. 
Interior: Apparatus Floor Repairs . install LED lights. Low domestic water pressure to kitchen sink, need to re-pipe.",210000,210000,1,09/21/2021,Approved,POINT (-87.63245 41.88425)
Urban Main Street Program: Phase I and II,DPD,"Plans, Studies, and Administration",,47th Ashland,T-117,47th Ashland,T-117,"The Neighborhood Main Streets project seeks to coordinate public investment in public spaces and arts in order to enhance commercial areas, respond to changing commercial trends in retail and services, enrich local culture, and stabilize populations.",376250,376250,1,10/01/2019,Approved,POINT (-87.63245 41.88425)
CFD Engine Company 107,AIS,Municipal Facilities,1101 South California Av,Western Ogden,T-048,Western Ogden,T-048,"Replace reznor heaters on apparatus floor, and replace existing Air Handling Unit servicing the facility.",200000,200000,1,03/10/2020,Approved,POINT (-87.69555 41.86789)
Concrete Protected Bike Lanes - 2023,CDOT,Public Infrastructure,10300-11000  South Doty Av East,North Pullman,T-166,North Pullman,T-166,Installation of concrete curb protected bike lanes.,1016000,3932000,0.26,03/28/2023,Approved,POINT (-87.58737 41.70454)
CPS ADA Polling Locations - South Region Part 2,CPS,Schools,,Ewing Avenue,T-169,Ewing Avenue,T-169,Part of an coordinated effort between the City of Chicago and Chicago Board of Education to make polling locations accessible to people with disabilities.,70200,1034879,1,07/27/2021,Under Further Review,POINT (-87.63245 41.88425)
Q1 2024 Arterial Resurfacing,CDOT,Public Infrastructure,,47th Halsted,T-121,47th Halsted,T-121,2024 arterial resurfacing with Complete Streets upgrades,3680000,3680000,1,03/26/2024,Approved,POINT (-87.63245 41.88425)
Water and Sewer Improvements,DWM,Public Infrastructure,Various,Central West,T-086,Central West,T-086,"Replace water main, sewer main and line existing sewer main located within 59 investigated TIF boundaries throughout the City of Chicago.",621733,621733,1,04/07/2020,Referred Back to Department,
Western Avenue (Diversey Bus Priority Zone),CDOT,Transit Facilities,2600-2900 North Western Av,Addison South,T-150,Addison South,T-150,"This project will make improvements to Western Avenue to reduce slow zones, enabling faster and more reliable rides for Route 49 and X49 Western Avenue bus riders.",475000,475000,1,11/05/2019,Approved,POINT (-87.68803 41.93421)
The Ave: Apartments,DOH,Affordable Housing,3601-3625 West Chicago Av,Chicago Central Park,T-115,Chicago Central Park,T-115,As-of-right Development. ISW Humboldt Park - Chicago Ave RFP winner. Looking to build as-of-right through change in zoning to B3-3,18500000,39745200,0.47,03/26/2024,Approved,POINT (-87.71658 41.89514)
Stabilization Housing Acquisition Lincoln Avenue-Additional Request,DOH,Affordable Housing,5230  North Lincoln Av,Lincoln Av,T-077,Lincoln Av,T-077,"Seeking Acquisition authority for Diplomat Motel, located at 5230 N. Lincoln Ave. and 2500 W. Farragut Avenue, in the Lincoln Avenue TIF in order to make minor property renovations for the building to be used for the CDPH Stabilization Housing Pilot Program to provide behavioral health and housing support for people experiencing homelessness.",1500000,13203660,0.11,11/19/2024,Approved,POINT (-87.69271 41.9772)
Environmental Remediation - Roosevelt and Kostner,AIS,Economic Development,4300 W Roosevelt Rd,Roosevelt Cicero,T-038,Roosevelt Cicero,T-038,"The proposed project includes excavation of underground storage tanks (USTs) at each of the parcels, one located on the 4300 W Roosevelt Road parcel and one located on the 916 S Kildare parcel.",110000,110000,1,09/15/2020,Approved,POINT (-87.73265 41.86606)
Washington Street Basucle Bridge Structural & Mechanical Repairs,CDOT,Public Infrastructure,364 W. Washington Street,LaSalle Central,T-147,LaSalle Central,T-147,Removal and replacement of the current system with a new modern and more reliable system; structural repairs and or retrofit; electro-mechanical parts replacements and upgrades.,1200000,1200000,1,08/06/2019,Approved,POINT (-87.63751 41.88326)
Western Avenue Corridor Development Opportunities Analysis,DPD,Planning and Administration,3600-7578  North Western Av,Western Av South,T-085,Western Av South,T-085,Real estate market demand analysis for development opportunities following the Western Avenue Corridor Study.,20000,80000,0.25,02/28/2023,Approved,POINT (-87.69065 42.01919)
Fire Engine Company 84: MEP,AIS,Municipal Facilities,21 W 59th St,Washington Park,T-178,Washington Park,T-178,MEP: remove and replace chiller; update controls,200000,200000,1,07/21/2020,Approved,POINT (-87.62625 41.78719)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Ewing Avenue,T-169,Ewing Avenue,T-169,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",94412,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
South Shore ES - Playground Replacement,CPS,Schools,1955 East 75th St,71st Stony Island,T-060,71st Stony Island,T-060,Replace exisiting playground.,450000,450000,1,07/27/2021,Under Further Review,POINT (-87.57612 41.75849)
TIF Works - Funding Request,DPD,Economic Development,Various,Galewood Armitage,T-071,Galewood Armitage,T-071,Soft Launch of Training Reimbursement Grant. Initial Focus on 10 TIF districts with industrial corridors and/or heavy manufacturing presence.,500000,500000,1,08/22/2023,Approved,
CPS ADA Polling Locations - South Region Part 2,CPS,Schools,,73rd University,T-145,73rd University,T-145,Part of an coordinated effort between the City of Chicago and Chicago Board of Education to make polling locations accessible to people with disabilities.,68200,1034879,1,07/27/2021,Under Further Review,POINT (-87.63245 41.88425)
Traffic Signal at Foster & Albany,CDOT,Public Infrastructure,3100 West Foster Av,Lawrence Kedzie,T-088,Lawrence Kedzie,T-088,"This project would install a new traffic signal at the Foster/Albany intersection, which includes the driveway for the North Park Bus Garage on the north side of Foster. This driveway is extremely heavily utilized by buses starting and ending their routes",400000,400000,1,12/03/2019,Under Further Review,POINT (-87.70622 41.97576)
Damen CTA Green Line Station - Additional Funding Request,CDOT,Public Infrastructure,2000-2020 West Lake St,Kinzie Ind Corr,T-052,Kinzie Ind Corr,T-052,Additional funding request for the Damen Green Line CTA Station.,14000000,14000000,1,04/25/2023,Approved,POINT (-87.67799 41.88495)
Legends South A3- CHA,DOH,Affordable Housing,4520 South State St,47th State,T-136,47th State,T-136,"The project will consist of 61 total residential units including a mix of 1, 2, and 3-bedroom units in three newly constructed buildings on the site of the former Robert Taylor public housing development.",4000000,31584997,0.13,05/24/2022,Approved,POINT (-87.62615 41.81236)
Chicago Department on Aging - ADA Improvements,AIS,Municipal Facilities,1767 East 79th St,Avalon Park South Shore,T-123,Avalon Park South Shore,T-123,"Sidewalk patching, reposition the ramp & install handrails.",150000,150000,1,10/19/2021,Approved,POINT (-87.58063 41.75156)
Chicago Central City Framework Plan,DPD,"Plans, Studies, and Administration",,Near North,T-030,Near North,T-030,"Chicago Central City Framework Plan, to be aligned with We Will pillars and engagement.",85000,550000,0.5,06/28/2022,Approved,POINT (-87.63245 41.88425)
Central Area Plan - Phase 2,DPD,Planning and Administration,Various,Goose Island,T-023,Goose Island,T-023,This will be a framework plan to set a new vision for Chicago's Central City to align with priorities and processes identified from We Will.,23500,500000,0.05,04/25/2023,Approved,
TIFWorks,DPD,Economic Development,Various,Devon/Western,T-076,Devon/Western,T-076,Replenish capital to subsidize upcoming TIFWorks projects.,75000,75000,1,01/21/2020,Approved,
SBIF Ordinances 2024,DPD,Economic Development,,Armitage Pulaski,T-151,Armitage Pulaski,T-151,The Small Business Improvement Fund provides non-competitive grants to small businesses to make permanent building improvements and repairs.,1000000,1000000,1,03/26/2024,Approved,POINT (-87.63245 41.88425)
Chicago Public Library  Capital Strategic Plan,DPD,Planning and Administration,Various,73rd University,T-145,73rd University,T-145,"CPL is seeking a consultant to create a comprehensive design and strategies guide for facilities design, planning, and improvements for the next 20 years, with an emphasis on a five-year commitment towards addressing the Facilities with highest needs.",6173,500000,0.01,04/25/2023,Approved,
8800 S Clyde Curb Replacement in the 8th Ward,CDOT,Public Infrastructure,8800-8900  South Clyde Av,Stony Island Burnside,T-054,Stony Island Burnside,T-054,Reconstruction of deteriorated curb on the 8800 block of S.Clyde.,340000,340000,1,07/23/2024,Approved,POINT (-87.57403 41.73499)
Elston Avenue Lighting Improvements (1837-2027 N Elston),CDOT,Public Infrastructure,1837-2027  North Elston Av,Cortland Chicago River,T-183,Cortland Chicago River,T-183,Design and installation of arterial lighting.,850000,850000,1,11/28/2023,Approved,POINT (-87.66803 41.91852)
Julian HS - Turf Field,CPS,Schools,10330  South Elizabeth St,105th Vincennes,T-111,105th Vincennes,T-111,"Replace the existing grass area with an artificial turf soccer field surrounded with six-lane surface running track, concrete curb & gutter, scoreboard, high light poles with electrical connection, drainage.",3500000,5300000,0.66,11/28/2023,Approved,POINT (-87.65466 41.70502)
Halsted & Hubbard Traffic Signal - Additional Funding Request,CDOT,Public Infrastructure,790-810  West Hubbard St,Kinzie Ind Corr,T-052,Kinzie Ind Corr,T-052,Additional funding request for a new traffic signal at the intersection of Halsted and Hubbard.,382040,382040,1,12/17/2024,Approved,POINT (-87.64821 41.8903)
Central Area Plan - Phase 2,DPD,Planning and Administration,Various,Near North,T-030,Near North,T-030,This will be a framework plan to set a new vision for Chicago's Central City to align with priorities and processes identified from We Will.,85000,500000,0.17,04/25/2023,Approved,
Warren Blvd Sidewalk Improvements from Paulina to Ashland,CDOT,Public Infrastructure,1600-1700 West Warren Bv,Central West,T-086,Central West,T-086,Design and construction of new sidewalks and curb & gutter on Warren Blvd from Paulina to Ashland.,250000,250000,1,05/28/2024,Approved,POINT (-87.66701 41.88239)
PSHQ - Elevator Replacement,AIS,Municipal Facilities,3510 S Michigan Ave,Bronzeville,T-061,Bronzeville,T-061,"Remove and replace elevator drives, controllers, traveling cable, roll gliders and doors and door related equipment. Install ADA compliant car equipment and ADA fixture equipment.",1000000,1000000,1,05/25/2021,Approved,POINT (-87.62325 41.83061)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Western Ogden,T-048,Western Ogden,T-048,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",69000,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
TIF Works Funding Requests 2024,DPD,Economic Development,,Washington Park,T-178,Washington Park,T-178,TIFWorks is an economic development program that utilizes TIF dollars to subsidize training programs for companies in TIF districts across the city of Chicago.,250000,250000,1,05/28/2024,Approved,POINT (-87.63245 41.88425)
"Invest South/West Sidewalk, Curb and Gutter Repairs",CDOT,Public Infrastructure,Various,Avalon Park South Shore,T-123,Avalon Park South Shore,T-123,Repair of damaged sidewalk and curb and gutter in all 12 Invest South West main street corridors.,1075814,1075814,1,04/07/2020,Approved,
"Arterial Resurfacing Projects 87, 88, 89, & 90",CDOT,Public Infrastructure,Various,Clark Ridge,T-074,Clark Ridge,T-074,"Pavement resurfacing, ADA Ramp Improvements, Curb Extensions, Pedestrian Refuge Islands, and updated Pavement Markings.",286750,286750,1,04/07/2020,Approved,
2023 Underpass Rehab Program,CDOT,Public Infrastructure,100  West 43rd St,47th Halsted,T-121,47th Halsted,T-121,"Construction of 9 underpass rehabilitation projects consisting of pavement reconstruction, curb and gutter and sidewalk replacement as well as any necessary drainage improvements and lighting upgrades.",241000,4400000,0.05,04/25/2023,Approved,POINT (-87.62827 41.81647)
Green Line Lake Street Elevated Track and Structural Improvements,CTA,Transit Facilities,1350-3200 W Lake St,Kinzie Industrial Corridor,T-052,Kinzie Industrial Corridor,T-052,"Basic repair and replacement of track, tie, structural work on the 27,200 track feet between Ada and Kedzie.",17266000,17266000,1,11/22/2019,Under Further Review,POINT (-87.70628 41.88435)
Neighborhood Lighting Infrastructure,CDOT,Public Infrastructure,,47th State,T-136,47th State,T-136,"City-wide program to replace condition 1 poles, ""all-outs"", temporary aerial wires and light fixtures to support the City's Smart Lighting Program for lighting infrastructure located within TIF district boundaries.",3000000,3000000,0.69,08/06/2019,Approved,POINT (-87.63245 41.88425)
CircEsteem,DPD,Economic Development,4730 North Sheridan Rd,Lawrence/Broadway,T-109,Lawrence/Broadway,T-109,"Rehab of interior spaces, faÃ§ade and roof as an entertainment venue. Work will consolidate first floor youth programming.Â The building was designed by Ralph Cambel Harris and operated as the LakesideÂ Theater until 1966.",4211324,8452924,0.5,08/23/2022,Approved,POINT (-87.65482 41.96815)
TIF Works - Funding Request,DPD,Economic Development,Various,Lake Calumet,T-103,Lake Calumet,T-103,Soft Launch of Training Reimbursement Grant. Initial Focus on 10 TIF districts with industrial corridors and/or heavy manufacturing presence.,50000,50000,1,08/22/2023,Approved,
